All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly
# misassemblies              6       
  # contig misassemblies     6       
    # c. relocations         6       
    # c. translocations      0       
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       1       
Misassembled contigs length  4640495 
# local misassemblies        3       
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     0       
# mismatches                 19      
# indels                     241     
    # indels (<= 5 bp)       241     
    # indels (> 5 bp)        0       
Indels length                242     
