Assembly	assembly
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	4644123
Total length (>= 1000 bp)	4644123
Total length (>= 5000 bp)	4640495
Total length (>= 10000 bp)	4640495
Total length (>= 25000 bp)	4640495
Total length (>= 50000 bp)	4640495
# contigs	3
Largest contig	4640495
Total length	4644123
Reference length	4639675
GC (%)	50.79
Reference GC (%)	50.79
N50	4640495
NG50	4640495
N75	4640495
NG75	4640495
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	6
# misassembled contigs	1
Misassembled contigs length	4640495
# local misassemblies	3
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	914
Genome fraction (%)	99.979
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.41
# indels per 100 kbp	5.20
Largest alignment	3022566
Total aligned length	4640369
NA50	3022566
NGA50	3022566
NA75	949242
NGA75	949242
LA50	1
LGA50	1
LA75	2
LGA75	2
